"string_agg"
"Area ID|SubArea ID|DSA ID|CSA ID|State Name|City Name|Network ID|Cable Name|Total Core|No Of Tube|No Of Core Per Tube|GIS Length|Cable Calculated Length|Cable Type|Coreaccess|Wavelength|Optical Output Power|Frequency|Attenuation Db|Resistance Ohm|Construction|Activation|Accessibility|Specification|Category|Subcategory1|Subcategory2|Subcategory3|Item Code|Network Status|Status|Pin Code|Utilization|Totalattenuationloss|Chromaticdb|Chromaticdispersion|Totalchromaticloss|Remarks|A Entity Type|B Entity Type|Cable Category|Execution Method|Total Loop Count|Total Loop Length|Parent Type|Parent Code|Route ID|Start Reading|End Reading|Cable Sub Category|Created By|Created On|Modified On|Modified By|Project Code|Project Name|Planning Code|Planning Name|Workorder Code|Workorder Name|Purpose Code|Purpose Name|Drum No|Acquire From|Circuit ID|Thirdparty Circuit ID|Province ID|Region ID|Is Used|Barcode|Project ID|Planning ID|Workorder ID|Purpose ID|Created By ID|Utilization Text|Notification Status|Ownership Type|Third Party Vendor Name|Third Party Vendor ID|Source Ref Type|Source Ref ID|Source Ref Description|Status Remark|Status Updated By|Status Updated On|Is Visible On Map|Primary POD Name|Secondary POD Name|Inner Dimension|Outer Dimension|Vendor Name|Calculated Length Remark|Country Name|Origin Ref ID|Origin From|Request Approved By|Origin Ref Code|Origin Ref Description|Requested By|BOM Sub Category|Request Ref ID|NE Id|Mzone Id|PRMS Id|Served By Ring|A Latitude|End Location Lat/Lon|A Region Name|B Region Name|A City Name|B City Name|Evoid|Used Core|Own Vendor|Manhole Count|A Location Code|B Location Code|"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000027|GAU-FMS023-GAU-JCL000013|48|6|8|11.47|11.48|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||FMS|SpliceClosure|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.365628 28.610671|77.365638 28.610568|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||28|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000026|GAU-JCL000012-GAU-FMS022|48|6|8|25.73|25.73|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||SpliceClosure|FMS|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.365708 28.611251|77.365526 28.611084|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||48|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000025|GAU-FMS021-GAU-JCL000012|48|6|8|18.20|18.21|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||FMS|SpliceClosure|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.365519 28.611260|77.365705 28.611252|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||48|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000024|GAU-JCL000010:GAU-FMS020|48|6|8|52.11|52.11|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||O||||||SpliceClosure|FMS|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Over|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.366005 28.611256|77.365982 28.610970|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||8|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000023|GAU-FMS019:GAU-JCL000010|48|6|8|16.36|16.36|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||O||||||FMS|SpliceClosure|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Over|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.365836 28.611264|77.366003 28.611259|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||8|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000022|GAU-JCL000007:GAU-FMS018|48|6|8|29.27|29.28|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Dormant|A||L||||||SpliceClosure|FMS|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|21-Nov-24|admin|||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.363413 28.612249|77.363404 28.611985|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||0|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000021|GAU-FMS015:GAU-JCL000007|48|6|8|48.81|48.81|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Dormant|A||L||||||FMS|SpliceClosure|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|21-Nov-24|admin|||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.363450 28.612698|77.363419 28.612258|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||0|OWN|||"
"||||Haryana|Gurugram|GGN-CBL000002|GGN-CBL000002|48|6|8|231.22|231.22|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||SpliceClosure|SpliceClosure|Drop||0|0|Province|GGN||0.00|0.00||admin|19-Nov-24|||||||||||||||1405|4|Yes||||||5|Low|Un-blocked|OWN|||planning|289|||||true|||0.00|0.00|Dialog||India|||||||Proposed|||||||||||||0||||"
"||||Haryana|Gurugram|GGN-CBL000001|GGN-CBL000001|48|6|8|2886.98|2886.98|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||SpliceClosure|SpliceClosure|Drop||0|0|Province|GGN||0.00|0.00||admin|19-Nov-24|||||||||||||||1405|4|Yes||||||5|Low|Un-blocked|OWN|||planning|288|||||true|||0.00|0.00|Dialog||India|||||||Proposed|||||||||||||0||||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000020|GAU-JCL000009:GAU-FMS017|48|6|8|9.26|9.26|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||SpliceClosure|FMS|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.363921 28.612712|77.363923 28.612795|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||26|OWN|||"
